set nusos:= 1 2 3 4 5 6 7 8 9 ;
set centr:= 1 2 3 4;
set links:=
(1,5)
(3,8)
(5,6)
(5,8)
(5,9)
(6,7)
(7,2)
(7,9)
(8,5)
(8,6)
(9,4)
(9,7);

set origens:= 1 3;
set destins:= 2 4;

set odpair:=
(1,2)
(3,4);

param g:=
1 2 400
3 4 400;

param t0:=
1 5 0.1
3 8 0.1
5 6 0.2
5 8 0.7
5 9 0.5
6 7 1.0
7 2 0.1
7 9 0.1
8 5 1.0
8 6 1.0
9 4 0.08
9 7 0.7;


param capacitat:=
1 5 400
3 8 400
5 6 100
5 8 200
5 9 300
6 7 500
7 2 1000
7 9 500
8 5 700
8 6 1000
9 4 900
9 7 1200;

#Gurobi 5.1.0: optimal solution; objective 1472
#4 simplex iterations
